index,latitude,longitude,height,speed_x,speed_y,speed_z,pitch,roll,yaw,satellite_count,flight_mode,is_motor_on,is_flying,battery_percent,battery_voltage,cell_1,cell_2,cell_3,cell_4,message
109,38.132314011820505,24.32966626273466,8.8,-0.3,0.07,0.0,-0.30000000000000004,-30.1,-101.80000000000001,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
110,38.13230783349345,24.329668305980647,8.8,-0.36,0.09,0.0,-0.5,-30.3,-101.80000000000001,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
111,38.132300655657424,24.329670677823493,8.8,-0.41000000000000003,0.1,0.0,0.0,-30.400000000000002,-101.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
112,38.13229230838105,24.329673247120056,8.8,-0.46,0.11,0.0,-2.5,-29.5,-100.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
113,38.13228360843274,24.3296754737355,8.8,-0.5,0.08,0.0,-19.1,-23.400000000000002,-94.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
114,38.1322741211276,24.329676336310442,8.9,-0.52,0.0,0.0,-24.200000000000003,-19.1,-84.30000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
116,38.13225553687252,24.32967064913054,8.9,-0.49,-0.18,0.0,-3.8000000000000003,-25.1,-69.4,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
117,38.132246657572146,24.329665825547977,8.8,-0.51,-0.22,0.01,-2.3000000000000003,-29.200000000000003,-69.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
118,38.13223726450709,24.329660561521603,8.8,-0.53,-0.26,0.0,-10.8,-26.900000000000002,-64.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
119,38.132227678834305,24.32965338971744,8.8,-0.51,-0.35000000000000003,-0.01,-24.1,-14.9,-56.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
120,1.0154304283771244e-294,-4.427225413814867e-294,8.8,-0.44,-0.44,-0.02,-25.3,-8.8,-46.800000000000004,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
121,38.132212322336336,24.329631986785962,8.8,-0.34,-0.51,-0.01,-16.0,-10.3,-35.6,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
122,38.132206754698565,24.329619305788608,8.700000000000001,-0.3,-0.54,0.01,2.0,-25.700000000000003,-37.4,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
123,38.13220131371849,24.32960715109017,8.6,-0.31,-0.58,0.02,6.4,-28.0,-36.1,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
124,38.132195099100244,24.329593602323285,8.6,-0.34,-0.61,0.01,11.8,-26.200000000000003,-35.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
125,-2.6589810264382125e-252,-1.9857653817396963e-294,8.5,-0.34,-0.65,-0.01,-14.5,-15.3,-30.400000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
126,38.1321834906946,24.329563618676946,8.6,-0.24,-0.7000000000000001,-0.02,-12.100000000000001,-10.0,-21.900000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
127,38.132179753649524,24.329546913990214,8.6,-0.19,-0.6900000000000001,-0.01,4.9,5.6000000000000005,-21.900000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
128,38.13217674163439,24.329532377009937,8.5,-0.19,-0.63,0.0,22.700000000000003,11.5,-21.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
129,38.13217303961436,24.32951906898908,8.4,-0.2,-0.5700000000000001,0.08,26.900000000000002,12.4,-19.8,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
131,38.132165170044665,24.32949610444888,7.7,-0.23,-0.44,0.22,26.3,11.9,-19.3,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
132,38.132160680475344,24.3294871512425,7.300000000000001,-0.27,-0.34,0.19,26.1,9.200000000000001,-19.8,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
133,38.13215492265428,24.329481102620505,7.1000000000000005,-0.33,-0.24,0.1,29.0,3.5,-20.8,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
